tipo,cve_region,nom_region,pob_2020
Metropolitan Statistical Area,44420,"Staunton-Stuarts Draft, VA",128481
Micropolitan Statistical Area,12300,"Augusta-Waterville, ME",128461
Metropolitan Statistical Area,21060,"Elizabethtown, KY",127954
Metropolitan Statistical Area,33540,"Missoula, MT",127741
Metropolitan Statistical Area,48300,"Wenatchee-East Wenatchee, WA",127023
Metropolitan Statistical Area,14580,"Bozeman, MT",126984
Metropolitan Statistical Area,34100,"Morristown, TN",126932
Metropolitan Statistical Area,30020,"Lawton, OK",126899
Micropolitan Statistical Area,35100,"New Bern, NC",126179
Metropolitan Statistical Area,43420,"Sierra Vista-Douglas, AZ",125773
Metropolitan Statistical Area,24020,"Glens Falls, NY",125127
Metropolitan Statistical Area,31900,"Mansfield, OH",124853
Micropolitan Statistical Area,27460,"Jamestown-Dunkirk, NY",124105
Metropolitan Statistical Area,46300,"Twin Falls, ID",122565
Micropolitan Statistical Area,26090,"Holland, MI",122429
Metropolitan Statistical Area,29940,"Lawrence, KS",121989
Zona conurbada,08.3.04,Zona conurbada de Hidalgo del Parral,121666
Metropolitan Statistical Area,41660,"San Angelo, TX",121629
Metropolitan Statistical Area,22140,"Farmington, NM",120817
Metropolitan Statistical Area,24140,"Goldsboro, NC",120338
Metropolitan Statistical Area,11020,"Altoona, PA",120269
Metropolitan Statistical Area,41140,"St. Joseph, MO-KS",119124
Micropolitan Statistical Area,31300,"Lumberton, NC",118624
Metropolitan Statistical Area,43100,"Sheboygan, WI",118331
Metropolitan Statistical Area,15260,"Brunswick-St. Simons, GA",117135
Micropolitan Statistical Area,49300,"Wooster, OH",116632
Metropolitan Statistical Area,11500,"Anniston-Oxford, AL",116427
Metropolitan Statistical Area,30340,"Lewiston-Auburn, ME",115272
Zona conurbada,16.3.06,Zona conurbada de Sahuayo,114635
Micropolitan Statistical Area,28060,"Kalispell, MT",114527
Zona conurbada,30.3.08,Zona conurbada de Acayucan,114416
Micropolitan Statistical Area,45860,"Torrington, CT",114101
Metropolitan Statistical Area,31020,"Longview-Kelso, WA",113982
Zona conurbada,21.3.04,Zona conurbada de Huauchinango,113774
Metropolitan Statistical Area,36980,"Owensboro, KY",113583
Metropolitan Statistical Area,41780,"Sandusky, OH",113533
Metropolitan Statistical Area,48260,"Weirton-Steubenville, WV-OH",113239
Metropolitan Statistical Area,48700,"Williamsport, PA",113236
Metropolitan Statistical Area,48060,"Watertown-Fort Drum, NY",113140
Metropolitan Statistical Area,34620,"Muncie, IN",112951
Micropolitan Statistical Area,40700,"Roseburg, OR",112255
Metropolitan Statistical Area,33140,"Michigan City-La Porte, IN",111348
Metropolitan Statistical Area,13220,"Beckley, WV",110979
Metropolitan Statistical Area,42700,"Sebring, FL",109778
Micropolitan Statistical Area,43320,"Show Low, AZ",109516
Metropolitan Statistical Area,38240,"Pinehurst-Southern Pines, NC",108417
Micropolitan Statistical Area,44980,"Sunbury, PA",108142
Micropolitan Statistical Area,25850,"Hermitage, PA",108140
Metropolitan Statistical Area,23900,"Gettysburg, PA",107914
Zona conurbada,24.3.02,Zona conurbada de Matehuala,107497
Zona conurbada,05.3.05,Zona conurbada de Sabinas,107071
Metropolitan Statistical Area,28100,"Kankakee, IL",106410
Zona conurbada,29.3.02,Zona conurbada de Huamantla,106268
Micropolitan Statistical Area,32390,"Massena-Ogdensburg, NY",106198
Micropolitan Statistical Area,48580,"Whitewater-Elkhorn, WI",106029
Metropolitan Statistical Area,27060,"Ithaca, NY",105602
Micropolitan Statistical Area,29300,"LaGrange, GA-AL",105326
Metropolitan Statistical Area,31860,"Mankato, MN",105193
Metropolitan Statistical Area,44940,"Sumter, SC",104776
Micropolitan Statistical Area,34180,"Moses Lake, WA",104717
Metropolitan Statistical Area,22540,"Fond du Lac, WI",104269
Departamento,00.00.09,Gracias a Dios,104261
Metropolitan Statistical Area,24220,"Grand Forks, ND-MN",104184
Metropolitan Statistical Area,23460,"Gadsden, AL",103207
Metropolitan Statistical Area,13020,"Bay City, MI",102651
Metropolitan Statistical Area,37140,"Paducah, KY-IL",102395
Micropolitan Statistical Area,46020,"Truckee-Grass Valley, CA",102195
Micropolitan Statistical Area,43140,"Shelby-Kings Mountain, NC",102194
Micropolitan Statistical Area,10700,"Albertville, AL",102156
Metropolitan Statistical Area,16940,"Cheyenne, WY",101783
Micropolitan Statistical Area,19260,"Danville, VA",101403
Metropolitan Statistical Area,40660,"Rome, GA",101390
Metropolitan Statistical Area,30620,"Lima, OH",100866
Metropolitan Statistical Area,19500,"Decatur, IL",100737
Micropolitan Statistical Area,42940,"Sevierville, TN",100184
Micropolitan Statistical Area,14660,"Brainerd, MN",100084
Metropolitan Statistical Area,26300,"Hot Springs, AR",99902
Micropolitan Statistical Area,41400,"Salem, OH",99823
Metropolitan Statistical Area,20220,"Dubuque, IA",99242
Metropolitan Statistical Area,47020,"Victoria, TX",99170
Zona conurbada,31.3.02,Zona conurbada de Valladolid,99057
Metropolitan Statistical Area,18700,"Corvallis, OR",98899
Metropolitan Statistical Area,16020,"Cape Girardeau, MO-IL",98862
Zona conurbada,26.3.05,Zona conurbada de Caborca,98244
Micropolitan Statistical Area,10300,"Adrian, MI",97746
Micropolitan Statistical Area,39480,"Putnam, CT",97701
Metropolitan Statistical Area,25740,"Helena, MT",96735
Micropolitan Statistical Area,14140,"Bluefield, WV-VA",96399
Micropolitan Statistical Area,44340,"Statesboro, GA",96323
Metropolitan Statistical Area,21820,"Fairbanks-College, AK",94951
Micropolitan Statistical Area,24940,"Greenwood, SC",94648
Micropolitan Statistical Area,19060,"Cumberland, MD-WV",93875
Micropolitan Statistical Area,27600,"Jefferson, GA",93825
Micropolitan Statistical Area,25840,"Hermiston-Pendleton, OR",92851
Micropolitan Statistical Area,18980,"Cullman, AL",92604
Micropolitan Statistical Area,35420,"New Philadelphia-Dover, OH",92048
Micropolitan Statistical Area,18500,"Corning, NY",92015
Micropolitan Statistical Area,45180,"Talladega-Sylacauga, AL",91666
Metropolitan Statistical Area,38540,"Pocatello, ID",91010
Micropolitan Statistical Area,38210,"Pikeville, KY",89962
Micropolitan Statistical Area,46380,"Ukiah, CA",89175
Metropolitan Statistical Area,25980,"Hinesville, GA",89046
Micropolitan Statistical Area,13180,"Beaver Dam, WI",88635
Micropolitan Statistical Area,17220,"Clarksburg, WV",88525
Metropolitan Statistical Area,24420,"Grants Pass, OR",88276
Micropolitan Statistical Area,31260,"Lufkin, TX",88094
Zona conurbada,20.3.03,Zona conurbada de Salina Cruz,87745
Metropolitan Statistical Area,37620,"Parkersburg-Vienna, WV",87681
Micropolitan Statistical Area,11980,"Athens, TX",87467
Zona conurbada,20.3.04,Zona conurbada de Tehuantepec,87435
Micropolitan Statistical Area,16500,"Centralia, WA",87049
Micropolitan Statistical Area,49780,"Zanesville, OH",86582
Micropolitan Statistical Area,36020,"Oak Harbor, WA",86478
Micropolitan Statistical Area,48020,"Watertown-Fort Atkinson, WI",86245
Micropolitan Statistical Area,32940,"Meridian, MS",85743
Micropolitan Statistical Area,40780,"Russellville, AR",84963
Metropolitan Statistical Area,18020,"Columbus, IN",84741
Metropolitan Statistical Area,24500,"Great Falls, MT",84523
Micropolitan Statistical Area,44660,"Stillwater, OK",84199
Metropolitan Statistical Area,29020,"Kokomo, IN",84082
Metropolitan Statistical Area,33220,"Midland, MI",84022
Micropolitan Statistical Area,26660,"Huntsville, TX",83722
Zona conurbada,15.3.02,Zona conurbada de Ozumba,83185
Micropolitan Statistical Area,36700,"Orangeburg, SC",83129
Micropolitan Statistical Area,26860,"Indiana, PA",82953
Micropolitan Statistical Area,42860,"Seneca, SC",82475
Micropolitan Statistical Area,32740,"Meadville, PA",82089
Micropolitan Statistical Area,29860,"Laurel, MS",81636
Micropolitan Statistical Area,31820,"Manitowoc, WI",81513
Metropolitan Statistical Area,21300,"Elmira, NY",81115
Micropolitan Statistical Area,25720,"Heber, UT",80967
Micropolitan Statistical Area,28580,"Key West-Key Largo, FL",80908
Micropolitan Statistical Area,36660,"Opelousas, LA",80869
Micropolitan Statistical Area,47700,"Warsaw, IN",80669
Micropolitan Statistical Area,33910,"Monticello, NY",80450
Metropolitan Statistical Area,16220,"Casper, WY",80410
Micropolitan Statistical Area,48980,"Wilson, NC",79958
Micropolitan Statistical Area,40090,"Rifle, CO",79810
Micropolitan Statistical Area,42620,"Searcy, AR",79091
Micropolitan Statistical Area,20180,"DuBois, PA",78132
Micropolitan Statistical Area,28300,"Keene, NH",78078
Micropolitan Statistical Area,38820,"Port Angeles, WA",77958
Micropolitan Statistical Area,10140,"Aberdeen, WA",77893
Micropolitan Statistical Area,38460,"Plattsburgh, NY",77871
Micropolitan Statistical Area,23180,"Frankfort, KY",77325
Micropolitan Statistical Area,37260,"Palatka, FL",77301
Metropolitan Statistical Area,24260,"Grand Island, NE",77278
Micropolitan Statistical Area,17060,"Chillicothe, OH",76046
Metropolitan Statistical Area,33500,"Minot, ND",75938
Micropolitan Statistical Area,36460,"Olean, NY",75475
Micropolitan Statistical Area,26020,"Hobbs, NM",75151
Micropolitan Statistical Area,22300,"Findlay, OH",75016
Departamento,00.00.11,Islas de la Bahía,74938
Micropolitan Statistical Area,12180,"Auburn, NY",74567
Micropolitan Statistical Area,43060,"Shawnee, OK",74446
Micropolitan Statistical Area,29380,"Lake City, FL",73977
Micropolitan Statistical Area,39500,"Quincy, IL-MO",73961
Micropolitan Statistical Area,49220,"Wisconsin Rapids-Marshfield, WI",73943
Micropolitan Statistical Area,28180,"Kapaa, HI",73840
Micropolitan Statistical Area,24620,"Greeneville, TN",73398
Micropolitan Statistical Area,22840,"Fort Payne, AL",73122
Micropolitan Statistical Area,45620,"Thomasville, GA",72325
Micropolitan Statistical Area,37060,"Oxford, MS",72301
Micropolitan Statistical Area,43740,"Somerset, PA",72134
Micropolitan Statistical Area,44620,"Stevens Point-Plover, WI",72040
Micropolitan Statistical Area,39020,"Portsmouth, OH",71798
Micropolitan Statistical Area,34340,"Mount Airy, NC",71547
Micropolitan Statistical Area,19180,"Danville, IL",71106
Micropolitan Statistical Area,38220,"Pine Bluff, AR",71039
Micropolitan Statistical Area,24640,"Greenfield, MA",70871
Micropolitan Statistical Area,11940,"Athens, TN",70691
Micropolitan Statistical Area,28900,"Klamath Falls, OR",70438
Micropolitan Statistical Area,33980,"Morehead City, NC",70259
Micropolitan Statistical Area,39940,"Rexburg, ID",69948
Micropolitan Statistical Area,10460,"Alamogordo, NM",69711
Micropolitan Statistical Area,43220,"Shelton, WA",69632
Micropolitan Statistical Area,24180,"Granbury, TX",69126
Micropolitan Statistical Area,14940,"Brigham City, UT-ID",69096
Micropolitan Statistical Area,22060,"Faribault-Northfield, MN",69025
Micropolitan Statistical Area,23700,"Gallup, NM",68945
Micropolitan Statistical Area,41820,"Sanford, NC",68537
Micropolitan Statistical Area,46100,"Tullahoma-Manchester, TN",68058
Micropolitan Statistical Area,37020,"Owosso, MI",67982
Micropolitan Statistical Area,32100,"Marquette, MI",67979
Micropolitan Statistical Area,17340,"Clearlake, CA",67764
Micropolitan Statistical Area,35340,"New Iberia, LA",67540
Micropolitan Statistical Area,22100,"Farmington, MO",67503
Micropolitan Statistical Area,10620,"Albemarle, NC",67326
Micropolitan Statistical Area,32060,"Marion-Herrin, IL",67064
Micropolitan Statistical Area,18060,"Columbus, MS",67035
Micropolitan Statistical Area,43700,"Somerset, KY",66842
Micropolitan Statistical Area,34780,"Muskogee, OK",66752
Micropolitan Statistical Area,40100,"Rio Grande City-Roma, TX",66587
Micropolitan Statistical Area,12660,"Baraboo, WI",66486
Micropolitan Statistical Area,31980,"Marion, IN",66458
Micropolitan Statistical Area,39980,"Richmond, IN",66410
Micropolitan Statistical Area,35900,"North Wilkesboro, NC",66186
Micropolitan Statistical Area,34680,"Murrells Inlet, SC",66035
Micropolitan Statistical Area,14100,"Bloomsburg-Berwick, PA",66012
Micropolitan Statistical Area,16260,"Cedar City, UT",65936
Micropolitan Statistical Area,17580,"Clovis, NM",65869
Micropolitan Statistical Area,34860,"Nacogdoches, TX",65728
Micropolitan Statistical Area,18900,"Crossville, TN",65618
Micropolitan Statistical Area,22580,"Forest City, NC",65587
Micropolitan Statistical Area,31940,"Marinette, WI-MI",65393
Metropolitan Statistical Area,30300,"Lewiston, ID-WA",65370
Micropolitan Statistical Area,29060,"Laconia, NH",65257
Micropolitan Statistical Area,34380,"Mount Pleasant, MI",65072
Micropolitan Statistical Area,32020,"Marion, OH",64976
Micropolitan Statistical Area,39780,"Red Bluff, CA",64451
Micropolitan Statistical Area,18300,"Coos Bay-North Bend, OR",64326
Micropolitan Statistical Area,34540,"Mount Vernon, OH",63848
Micropolitan Statistical Area,40740,"Roswell, NM",63697
Micropolitan Statistical Area,40260,"Roanoke Rapids, NC",63572
Micropolitan Statistical Area,32300,"Martinsville, VA",63219
Micropolitan Statistical Area,11900,"Athens, OH",63218
Micropolitan Statistical Area,48200,"Waynesville, NC",63048
Micropolitan Statistical Area,37580,"Paris, TX",62945
Micropolitan Statistical Area,25770,"Hemlock Farms, PA",62376
Metropolitan Statistical Area,47460,"Walla Walla, WA",62068
Metropolitan Statistical Area,21420,"Enid, OK",62007
Micropolitan Statistical Area,44260,"Starkville, MS",62004
Micropolitan Statistical Area,16100,"Carlsbad-Artesia, NM",61436
Micropolitan Statistical Area,26740,"Hutchinson, KS",61417
Micropolitan Statistical Area,44780,"Sturgis, MI",61171
Micropolitan Statistical Area,22260,"Fergus Falls, MN",60884
Micropolitan Statistical Area,15660,"Calhoun, GA",60765
Micropolitan Statistical Area,36580,"Oneonta, NY",60524
Micropolitan Statistical Area,26460,"Hudson, NY",60299
Micropolitan Statistical Area,40860,"Rutland, VT",60198
Zona conurbada,13.3.03,Zona conurbada de Atitalaquia,60151
Micropolitan Statistical Area,36620,"Ontario, OR-ID",59977
Micropolitan Statistical Area,12740,"Barre, VT",59844
Micropolitan Statistical Area,42380,"Sayre, PA",59699
Micropolitan Statistical Area,37300,"Palestine, TX",59512
Micropolitan Statistical Area,20140,"Dublin, GA",59465
Micropolitan Statistical Area,41460,"Salina, KS",59312
Micropolitan Statistical Area,17500,"Clewiston, FL",59262
Micropolitan Statistical Area,28680,"Kingsland, GA",59099
Micropolitan Statistical Area,38100,"Picayune, MS",59030
Micropolitan Statistical Area,23380,"Fremont, OH",58866
Metropolitan Statistical Area,20580,"Eagle Pass, TX",58829
Micropolitan Statistical Area,31930,"Marietta, OH",58332
Micropolitan Statistical Area,35940,"Norwalk, OH",58168
Metropolitan Statistical Area,16180,"Carson City, NV",58148
Micropolitan Statistical Area,28260,"Kearney, NE",57905
Micropolitan Statistical Area,23500,"Gaffney, SC",57770
Micropolitan Statistical Area,12860,"Batavia, NY",57604
Micropolitan Statistical Area,25775,"Henderson, KY",57029
Micropolitan Statistical Area,34420,"Mount Pleasant, TX",56895
Micropolitan Statistical Area,48180,"Waycross, GA",56891
Micropolitan Statistical Area,20420,"Durango, CO",56823
Micropolitan Statistical Area,14700,"Branson, MO",56744
Micropolitan Statistical Area,18620,"Corsicana, TX",56533
Micropolitan Statistical Area,21460,"Enterprise, AL",56358
Micropolitan Statistical Area,19220,"Danville, KY",56304
Micropolitan Statistical Area,21220,"Elko, NV",56240
Micropolitan Statistical Area,23980,"Glasgow, KY",56167
Micropolitan Statistical Area,37220,"Pahrump, NV",55990
Micropolitan Statistical Area,47660,"Warrensburg, MO",55880
Micropolitan Statistical Area,21900,"Fairmont, WV",55649
Micropolitan Statistical Area,28820,"Kinston, NC",55332
Micropolitan Statistical Area,14380,"Boone, NC",54997
Micropolitan Statistical Area,45660,"Tiffin, OH",54730
Micropolitan Statistical Area,44580,"Sterling, IL",54657
Micropolitan Statistical Area,36180,"Ocean Pines, MD",54337
Micropolitan Statistical Area,20780,"Edwards, CO",54330
Micropolitan Statistical Area,43180,"Shelbyville, TN",54228
Micropolitan Statistical Area,37740,"Payson, AZ",54073
Micropolitan Statistical Area,12780,"Bartlesville, OK",54060
Micropolitan Statistical Area,22780,"Fort Leonard Wood, MO",53964
Micropolitan Statistical Area,41760,"Sandpoint, ID",53955
Micropolitan Statistical Area,28500,"Kerrville, TX",53900
Micropolitan Statistical Area,43760,"Sonora, CA",53893
Micropolitan Statistical Area,42460,"Scottsboro, AL",53780
Micropolitan Statistical Area,35020,"Natchez, MS-LA",53371
Micropolitan Statistical Area,27380,"Jacksonville, TX",53223
Micropolitan Statistical Area,16060,"Carbondale, IL",53199
Micropolitan Statistical Area,32620,"McComb, MS",52819
Micropolitan Statistical Area,11740,"Ashland, OH",52420
Micropolitan Statistical Area,38420,"Platteville, WI",52330
Micropolitan Statistical Area,20060,"Douglas, GA",52286
Micropolitan Statistical Area,24100,"Gloversville, NY",52073
Micropolitan Statistical Area,24820,"Greenville, OH",51462
Micropolitan Statistical Area,40300,"Rochelle, IL",51345
Micropolitan Statistical Area,35440,"Newport, OR",51212
Micropolitan Statistical Area,13940,"Blackfoot, ID",50889
Micropolitan Statistical Area,45700,"Tifton, GA",50731
Micropolitan Statistical Area,23820,"Gardnerville Ranchos, NV-CA",50663
Micropolitan Statistical Area,35700,"Nogales, AZ",50508
Micropolitan Statistical Area,20460,"Durant, OK",50305
Micropolitan Statistical Area,15860,"Cañon City, CO",50093
Micropolitan Statistical Area,37120,"Ozark, AL",50067
Micropolitan Statistical Area,49100,"Winona, MN",49973
Micropolitan Statistical Area,32380,"Mason City, IA",49800
Micropolitan Statistical Area,43460,"Sikeston, MO",49707
Micropolitan Statistical Area,15620,"Cadillac, MI",49699
Micropolitan Statistical Area,18460,"Cornelia, GA",49665
Micropolitan Statistical Area,11220,"Amsterdam, NY",49648
Micropolitan Statistical Area,36340,"Oil City, PA",49476
Micropolitan Statistical Area,11620,"Ardmore, OK",49135
Micropolitan Statistical Area,35220,"New Castle, IN",49081
Micropolitan Statistical Area,45140,"Tahlequah, OK",48729
Micropolitan Statistical Area,23660,"Galesburg, IL",48716
Micropolitan Statistical Area,35740,"Norfolk, NE",48669
Micropolitan Statistical Area,15420,"Burley, ID",48667
Micropolitan Statistical Area,39420,"Pullman, WA",48399
Micropolitan Statistical Area,40820,"Ruston, LA",48243
Micropolitan Statistical Area,21260,"Ellensburg, WA",48172
Micropolitan Statistical Area,34460,"Mount Sterling, KY",48063
Micropolitan Statistical Area,19620,"Del Rio, TX",47999
Micropolitan Statistical Area,39860,"Red Wing, MN",47982
Micropolitan Statistical Area,43380,"Sidney, OH",47952
Micropolitan Statistical Area,23940,"Gillette, WY",47946
Micropolitan Statistical Area,28340,"Kendallville, IN",47811
Micropolitan Statistical Area,42980,"Seymour, IN",47420
Micropolitan Statistical Area,34220,"Moultrie, GA",46977
Micropolitan Statistical Area,37500,"Paragould, AR",46928
Micropolitan Statistical Area,39960,"Rice Lake, WI",46810
Micropolitan Statistical Area,34020,"Morgan City, LA",46799
Micropolitan Statistical Area,13420,"Bemidji, MN",46762
Micropolitan Statistical Area,29980,"Lawrenceburg, TN",46467
Micropolitan Statistical Area,38500,"Plymouth, IN",46464
Micropolitan Statistical Area,16660,"Charleston-Mattoon, IL",46423
Micropolitan Statistical Area,43890,"Sparta, WI",46370
Micropolitan Statistical Area,18100,"Columbus, NE",46325
Micropolitan Statistical Area,17740,"Coldwater, MI",46187
Micropolitan Statistical Area,32860,"Menomonie, WI",46135
Micropolitan Statistical Area,13340,"Bellefontaine, OH",46085
Micropolitan Statistical Area,17540,"Clinton, IA",46015
Micropolitan Statistical Area,18660,"Cortland, NY",45945
Micropolitan Statistical Area,30380,"Lewistown, PA",45935
Micropolitan Statistical Area,47540,"Wapakoneta, OH",45922
Micropolitan Statistical Area,40620,"Rolla, MO",45672
Micropolitan Statistical Area,25460,"Harrison, AR",45662
Micropolitan Statistical Area,14710,"Brattleboro, VT",45627
Micropolitan Statistical Area,10860,"Alice, TX",45626
Micropolitan Statistical Area,25880,"Hillsdale, MI",45590
Micropolitan Statistical Area,43020,"Shawano, WI",45585
Micropolitan Statistical Area,24330,"Grand Rapids, MN",45442
Micropolitan Statistical Area,32000,"Marion, NC",45269
Micropolitan Statistical Area,31580,"Madisonville, KY",45218
Micropolitan Statistical Area,13260,"Bedford, IN",45192
Micropolitan Statistical Area,49010,"Winchester, TN",45137
Micropolitan Statistical Area,14220,"Bogalusa, LA",45090
Micropolitan Statistical Area,20820,"Effingham, IL",44907
Micropolitan Statistical Area,33940,"Montrose, CO",44806
Micropolitan Statistical Area,48820,"Willmar, MN",44674
Micropolitan Statistical Area,16340,"Cedartown, GA",44610
Micropolitan Statistical Area,47820,"Washington, NC",44576
Micropolitan Statistical Area,44500,"Stephenville, TX",44496
Micropolitan Statistical Area,15460,"Burlington, IA-IL",44459
Micropolitan Statistical Area,12140,"Auburn, IN",44330
Micropolitan Statistical Area,23620,"Gainesville, TX",44258
Micropolitan Statistical Area,20340,"Duncan, OK",44075
Micropolitan Statistical Area,42740,"Sedalia, MO",43791
Micropolitan Statistical Area,33300,"Milledgeville, GA",43644
Micropolitan Statistical Area,27540,"Jasper, IN",43629
Micropolitan Statistical Area,32660,"McMinnville, TN",43619
Micropolitan Statistical Area,38620,"Ponca City, OK",43437
Micropolitan Statistical Area,32540,"McAlester, OK",43395
Micropolitan Statistical Area,26500,"Huntingdon, PA",43359
Micropolitan Statistical Area,23300,"Freeport, IL",43088
Micropolitan Statistical Area,34260,"Mountain Home, AR",43007
Micropolitan Statistical Area,16380,"Celina, OH",42648
Micropolitan Statistical Area,36380,"Okeechobee, FL",42369
Micropolitan Statistical Area,25780,"Henderson, NC",42337
Micropolitan Statistical Area,34140,"Moscow, ID",42180
Micropolitan Statistical Area,30260,"Lewisburg, PA",42159
Micropolitan Statistical Area,34700,"Muscatine, IA",42132
Micropolitan Statistical Area,46980,"Vicksburg, MS",42105
Micropolitan Statistical Area,20900,"El Campo, TX",42035
Micropolitan Statistical Area,48940,"Wilmington, OH",42019
Micropolitan Statistical Area,40460,"Rockingham, NC",41990
Micropolitan Statistical Area,13660,"Big Rapids, MI",41947
Micropolitan Statistical Area,38740,"Poplar Bluff, MO",41814
Micropolitan Statistical Area,15340,"Bucyrus, OH",41626
Micropolitan Statistical Area,10100,"Aberdeen, SD",41522
Micropolitan Statistical Area,21020,"Elizabeth City, NC",41418
Micropolitan Statistical Area,10940,"Alma, MI",41372
Micropolitan Statistical Area,40540,"Rock Springs, WY",41273
Micropolitan Statistical Area,24740,"Greenville, MS",41181
Micropolitan Statistical Area,11820,"Astoria, OR",41043
Micropolitan Statistical Area,12380,"Austin, MN",40900
Micropolitan Statistical Area,48780,"Williston, ND",40763
Micropolitan Statistical Area,48460,"West Plains, MO",40762
Micropolitan Statistical Area,10760,"Alexander City, AL",40699
Micropolitan Statistical Area,25580,"Hastings, NE",40625
Micropolitan Statistical Area,32260,"Marshalltown, IA",40392
Micropolitan Statistical Area,40940,"Safford, AZ",40242
Micropolitan Statistical Area,26340,"Houghton, MI",40202
Micropolitan Statistical Area,21580,"Española, NM",39955
Micropolitan Statistical Area,10820,"Alexandria, MN",39933
Micropolitan Statistical Area,40180,"Riverton, WY",39721
Micropolitan Statistical Area,42780,"Selinsgrove, PA",39627
Micropolitan Statistical Area,14620,"Bradford, PA",39478
Micropolitan Statistical Area,29660,"Laramie, WY",39288
Micropolitan Statistical Area,35140,"Newberry, SC",39203
Micropolitan Statistical Area,48220,"Weatherford, OK",39105
Micropolitan Statistical Area,29470,"Lake of the Woods, VA",38986
Micropolitan Statistical Area,34660,"Murray, KY",38975
Micropolitan Statistical Area,25300,"Hannibal, MO",38924
Micropolitan Statistical Area,46500,"Urbana, OH",38907
Micropolitan Statistical Area,38260,"Pittsburg, KS",38904
Micropolitan Statistical Area,19860,"Dickinson, ND",38861
Micropolitan Statistical Area,44860,"Sulphur Springs, TX",38784
Micropolitan Statistical Area,14300,"Bonham, TX",38650
Micropolitan Statistical Area,19580,"Defiance, OH",38644
Micropolitan Statistical Area,18820,"Crawfordsville, IN",38633
Micropolitan Statistical Area,15220,"Brownwood, TX",38631
Micropolitan Statistical Area,44460,"Steamboat Springs, CO",38385
Micropolitan Statistical Area,15820,"Campbellsville, KY",38361
Micropolitan Statistical Area,23780,"Garden City, KS",38354
Micropolitan Statistical Area,12900,"Batesville, AR",38345
Micropolitan Statistical Area,10220,"Ada, OK",38310
Micropolitan Statistical Area,46860,"Vernal, UT",38307
Micropolitan Statistical Area,14720,"Breckenridge, CO",38251
Micropolitan Statistical Area,20660,"Easton, MD",38244
Micropolitan Statistical Area,15740,"Cambridge, OH",38219
Micropolitan Statistical Area,28620,"Kill Devil Hills, NC",38183
Micropolitan Statistical Area,14180,"Blytheville, AR",38095
Micropolitan Statistical Area,23340,"Fremont, NE",37884
Micropolitan Statistical Area,30820,"Lock Haven, PA",37865
Micropolitan Statistical Area,30280,"Lewisburg, TN",37847
Micropolitan Statistical Area,14780,"Brenham, TX",37810
Micropolitan Statistical Area,24600,"Greencastle, IN",37804
Micropolitan Statistical Area,35460,"Newport, TN",37596
Micropolitan Statistical Area,30900,"Logansport, IN",37559
Micropolitan Statistical Area,27300,"Jacksonville, IL",37498
Micropolitan Statistical Area,36940,"Owatonna, MN",37434
Micropolitan Statistical Area,47620,"Warren, PA",37373
Micropolitan Statistical Area,13540,"Bennington, VT",37039
Micropolitan Statistical Area,20980,"El Dorado, AR",37008
Micropolitan Statistical Area,18740,"Coshocton, OH",37003
Micropolitan Statistical Area,38380,"Plainview, TX",36995
Micropolitan Statistical Area,26540,"Huntington, IN",36944
Micropolitan Statistical Area,22700,"Fort Dodge, IA",36909
Micropolitan Statistical Area,32460,"Mayfield, KY",36821
Micropolitan Statistical Area,26780,"Hutchinson, MN",36780
Micropolitan Statistical Area,22190,"Fayetteville, TN",36751
Micropolitan Statistical Area,11580,"Arcadia, FL",36744
Micropolitan Statistical Area,30060,"Lebanon, MO",36738
Micropolitan Statistical Area,19760,"DeRidder, LA",36695
Micropolitan Statistical Area,21540,"Escanaba, MI",36687
Micropolitan Statistical Area,19540,"Decatur, IN",36584
Micropolitan Statistical Area,16460,"Centralia, IL",36437
Micropolitan Statistical Area,20540,"Dyersburg, TN",36403
Micropolitan Statistical Area,42420,"Scottsbluff, NE",36399
Micropolitan Statistical Area,13060,"Bay City, TX",36391
Micropolitan Statistical Area,15100,"Brookings, SD",36359
Micropolitan Statistical Area,42300,"Sault Ste. Marie, MI",36253
Micropolitan Statistical Area,27220,"Jackson, WY-ID",36204
Micropolitan Statistical Area,15580,"Butte-Silver Bow, MT",36134
Micropolitan Statistical Area,34500,"Mount Vernon, IL",36107
Micropolitan Statistical Area,47080,"Vidalia, GA",36054
Micropolitan Statistical Area,35060,"Natchitoches, LA",35982
Micropolitan Statistical Area,47180,"Vincennes, IN",35872
Micropolitan Statistical Area,36900,"Ottumwa, IA",35681
Micropolitan Statistical Area,37940,"Peru, IN",35613
Micropolitan Statistical Area,42820,"Selma, AL",35545
Micropolitan Statistical Area,24900,"Greenwood, MS",35535
Micropolitan Statistical Area,19810,"Detroit Lakes, MN",35444
Micropolitan Statistical Area,38700,"Pontiac, IL",35375
Micropolitan Statistical Area,33380,"Minden, LA",35184
Micropolitan Statistical Area,21380,"Emporia, KS",35027
Micropolitan Statistical Area,15020,"Brookhaven, MS",34956
Micropolitan Statistical Area,11420,"Angola, IN",34862
Micropolitan Statistical Area,45340,"Taos, NM",34482
Micropolitan Statistical Area,18420,"Corinth, MS",34228
Micropolitan Statistical Area,11680,"Arkansas City-Winfield, KS",34186
Micropolitan Statistical Area,14820,"Brevard, NC",34103
Micropolitan Statistical Area,47780,"Washington, IN",34097
Micropolitan Statistical Area,19980,"Dodge City, KS",34072
Micropolitan Statistical Area,37800,"Pella, IA",34048
Micropolitan Statistical Area,35820,"North Platte, NE",34013
